Epoch: 1, Generative Loss: 179.21467800998184, Discriminator Loss: 0.5386920154808814
Epoch: 2, Generative Loss: 7.81993300448019, Discriminator Loss: 0.5435683241312774
Epoch: 3, Generative Loss: 4.958714308562102, Discriminator Loss: 0.5002910013429633
Epoch: 4, Generative Loss: 4.293019026675553, Discriminator Loss: 0.5870723583128836
Epoch: 5, Generative Loss: 3.3925471848280973, Discriminator Loss: 0.5094873611389388
Epoch: 6, Generative Loss: 3.08559492403868, Discriminator Loss: 0.509982455168352
Epoch: 7, Generative Loss: 2.9840815868327226, Discriminator Loss: 0.5016305037175909
Epoch: 8, Generative Loss: 2.7371690604421826, Discriminator Loss: 0.5434906700188041
Epoch: 9, Generative Loss: 3732.598922675249, Discriminator Loss: 0.5028107677489492
Epoch: 10, Generative Loss: 220.88439119934404, Discriminator Loss: 0.5000263851023901
Epoch: 11, Generative Loss: 147.4222160117336, Discriminator Loss: 0.5000603358286577
Epoch: 12, Generative Loss: 107.39594724947813, Discriminator Loss: 0.5000425168977615
Epoch: 13, Generative Loss: 50.71365020640943, Discriminator Loss: 0.5000146987461028
Epoch: 14, Generative Loss: 13.681350787480673, Discriminator Loss: 0.5000028167222916
Epoch: 15, Generative Loss: 11.787069313109868, Discriminator Loss: 0.5000002577098608
Epoch: 16, Generative Loss: 13.217088328467476, Discriminator Loss: 0.5000001537806579
Epoch: 17, Generative Loss: 11.036523081007457, Discriminator Loss: 0.5000000990970274
Epoch: 18, Generative Loss: 7.804591735834798, Discriminator Loss: 0.5000000760362131
Epoch: 19, Generative Loss: 41.51565588655926, Discriminator Loss: 0.5000000753109218
Epoch: 20, Generative Loss: 6.151031928087669, Discriminator Loss: 0.5000000658900732
